#Data export from Solartopo.com 
#
#Date 02-01-2001 dd.mm.yyyy
#UTC 5 h
#Longitude 55.536384 Degree
#Latitude -21.115141 Degree
#Altitude 1664 m
#
#Time Zenith Azimuth
0 0 -41.655663608169 205.45567042005
0 15 -43.041412359829 201.17709800268
0 30 -44.17720640059 196.67429754285
0 45 -45.044042829644 191.97992484894
1 0 -45.626115504073 187.13882852975
1 15 -45.91211598707 182.2063378014
1 30 -45.896269284078 177.24482853411
1 45 -45.578896854436 172.31899824672
2 0 -44.966384667089 167.49069223046
2 15 -44.070563043852 162.8142776572
2 30 -42.907632910169 158.33337960076
2 45 -41.49685054218 154.07935276011
3 0 -39.859190126264 150.0713916797
3 15 -38.016156669542 146.31786020616
3 30 -35.988846557955 142.81830016684
3 45 -33.797282290355 139.56563767167
4 0 -31.460001003461 136.54825375172
4 15 -28.993848731879 133.75173515644
4 30 -26.413925014978 131.16024301166
4 45 -23.733630052937 128.75751704226
5 0 -20.964773536251 126.52756751447
5 15 -18.117714452485 124.45511977785
5 30 -15.201513855677 122.52587616036
5 45 -12.224086747342 120.7266473998
6 0 -9.192344294837 119.04539500165
6 15 -6.1123248625297 117.47121751661
6 30 -2.467956242683 115.99430250624
6 45 0.63085849829817 114.60585951886
7 0 3.5798370288478 113.29804612417
7 15 6.7237216671992 112.0638934913
7 30 9.9394950122523 110.89723584045
7 45 13.196593315666 109.79264801501
8 0 16.48372961964 108.7453928801
8 15 19.795131553997 107.75138010336
8 30 23.127125295605 106.80713923265
8 45 26.477027084105 105.90980917308
9 0 29.842705337836 105.05714747702
9 15 33.222376662588 104.24756587596
9 30 36.614497373563 103.48020045166
9 45 40.017699708243 102.75503014162
10 0 43.430747923885 102.07306680618
10 15 46.852505051176 101.4366538431
10 30 50.281905706707 100.84993677475
10 45 53.717927786739 100.31961878367
11 0 57.159559636122 99.856208097447
11 15 60.605756857761 99.476159041042
11 30 64.055372399091 99.205736369319
11 45 67.507031934573 99.088446078942
12 0 70.958884791633 99.200532703958
12 15 74.408031677346 99.686927968354
12 30 77.848993918317 100.8576676544
12 45 81.268611356093 103.50717429224
13 0 84.62180507348 110.39490518636
13 15 87.604147014462 138.44996166345
13 30 87.412063927983 226.07260411271
13 45 84.361136623359 250.50998831577
14 0 80.998712659246 256.82734806254
14 15 77.576363297525 259.30490733383
14 30 74.13423838264 260.40267359068
14 45 70.684483236631 260.85145725508
15 0 67.232264893144 260.94154491631
15 15 63.780362629086 260.81016120514
15 30 60.33057405974 260.5300455945
15 45 56.884246937149 260.14292405628
16 0 53.442515061105 259.67407809461
16 15 50.006416777722 259.13938118985
16 30 46.5769607187 258.54897836746
16 45 43.155169056548 257.90933420698
17 0 39.742109745806 257.2244300909
17 15 36.338923307202 256.49649098778
17 30 32.946851591883 255.72643935944
17 45 29.567271627383 254.91418328625
18 0 26.201739417812 254.05879940219
18 15 22.852057631709 253.15864711184
18 30 19.520389457651 252.21143553437
18 45 16.209473789214 251.21425622875
19 0 12.923097410089 250.16359092694
19 15 9.6673051163806 249.0552994336
19 30 6.4542035589157 247.88459083001
19 45 3.3177158867894 246.64598134288
20 0 0.39717144996071 245.33324050151
20 15 -2.8398199090795 243.93932693776
20 30 -6.3831670379427 242.45631713747
20 45 -9.4618636693416 240.8753299838
21 0 -12.491999772962 239.18645129339
21 15 -15.467482402723 237.37866692732
21 30 -18.381335170143 235.43981507523
21 45 -21.225566734113 233.35657315586
22 0 -23.991025686053 231.11450407505
22 15 -26.667247141529 228.69819357491
22 30 -29.242299886477 226.09152074064
22 45 -31.702645141356 223.2781180609
23 0 -34.033028991362 220.24208445075
23 15 -36.216439752149 216.96901639861
23 30 -38.234169390654 213.44741268626
23 45 -40.066030899688 209.67046433019
